등록일시,채널명,영상제목,영상URL,Video ID,핵심 요약,블로그 초안,발행 상태
2026-09-17 10:05:25,Motorian모터리언,"구독자님 차로 이런 사진 찍어드려요, 기아 EV6 이별여행이라고 하긴 했는데... (위치 정보 포함)",https://www.youtube.com/watch?v=hpgVjV4d6_s,hpgVjV4d6_s,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 구독자님 차로 이런 사진 찍어드려요, 기아 EV6 이별여행이라고 하긴 했는데... (위치 정보 포함)
영상 링크: https://www.youtube.com/watch?v=hpgVjV4d6_s
(자막 미지원 영상)",대기
2026-09-17 10:05:33,Motorian모터리언,전기로 갈 것인가? 남을 것인가? BMW X3 30 xDrive MSP프로,https://www.youtube.com/watch?v=JU91DKMrEec,JU91DKMrEec,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 전기로 갈 것인가? 남을 것인가? BMW X3 30 xDrive MSP프로
영상 링크: https://www.youtube.com/watch?v=JU91DKMrEec
(자막 미지원 영상)",대기
2026-09-17 10:05:40,Motorian모터리언,현대차 자율주행 꽤 하는데? 테슬라 추월할 신기술은? 2028년 레벨 2++ 정식 출시! 너!무 멀어...,https://www.youtube.com/watch?v=xGeiKbDCmNk,xGeiKbDCmNk,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 현대차 자율주행 꽤 하는데? 테슬라 추월할 신기술은? 2028년 레벨 2++ 정식 출시! 너!무 멀어...
영상 링크: https://www.youtube.com/watch?v=xGeiKbDCmNk
(자막 미지원 영상)",대기
2026-09-17 10:05:44,Motorian모터리언,돌을 좀 많이 세워봤습니다 ㅋㅋ,https://www.youtube.com/watch?v=cfOkJ5ZPM8Y,cfOkJ5ZPM8Y,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 돌을 좀 많이 세워봤습니다 ㅋㅋ
영상 링크: https://www.youtube.com/watch?v=cfOkJ5ZPM8Y
(자막 미지원 영상)",대기
2026-09-17 10:05:50,한상기 오토프레스 Han Sang Ki,폴스타 3 퍼포먼스 급가속(Polestar 3 Performance Acceleration) - 2026.09.14,https://www.youtube.com/watch?v=6p8nd7uNYYw,6p8nd7uNYYw,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 폴스타 3 퍼포먼스 급가속(Polestar 3 Performance Acceleration) - 2026.09.14
영상 링크: https://www.youtube.com/watch?v=6p8nd7uNYYw
(자막 미지원 영상)",대기
2026-09-17 10:05:57,한상기 오토프레스 Han Sang Ki,"현대차그룹 자율주행 미디어데이, 42DOT이 추진하는 기술 소개, 2029년에 아트리아 레벨 2++ 양산, 5년 내 경쟁사 누적 데이터양 추월 예상 - 2026.09.11",https://www.youtube.com/watch?v=LIc0pAMrTuY,LIc0pAMrTuY,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 현대차그룹 자율주행 미디어데이, 42DOT이 추진하는 기술 소개, 2029년에 아트리아 레벨 2++ 양산, 5년 내 경쟁사 누적 데이터양 추월 예상 - 2026.09.11
영상 링크: https://www.youtube.com/watch?v=LIc0pAMrTuY
(자막 미지원 영상)",대기
2026-09-17 10:06:04,한상기 오토프레스 Han Sang Ki,"현대 아이오닉 9 AWD 성능형 6인승 시승기, 캘리그래피 9,407만원(2025 Hyundai Ioniq 9 Performance Test Drive) - 2026.09.03",https://www.youtube.com/watch?v=DCfdsCfe-u0,DCfdsCfe-u0,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 현대 아이오닉 9 AWD 성능형 6인승 시승기, 캘리그래피 9,407만원(2025 Hyundai Ioniq 9 Performance Test Drive) - 2026.09.03
영상 링크: https://www.youtube.com/watch?v=DCfdsCfe-u0
(자막 미지원 영상)",대기
2026-09-17 10:06:11,한상기 오토프레스 Han Sang Ki,"기아 PBV 생산 허브 테크데이, 기아 화성 오토랜드 탐방, 질의응답 - 2026.09.08",https://www.youtube.com/watch?v=-SlJizFj-Ms,-SlJizFj-Ms,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 기아 PBV 생산 허브 테크데이, 기아 화성 오토랜드 탐방, 질의응답 - 2026.09.08
영상 링크: https://www.youtube.com/watch?v=-SlJizFj-Ms
(자막 미지원 영상)",대기
2026-09-17 10:06:15,한상기 오토프레스 Han Sang Ki,현대 아이오닉 9 AWD 성능형 6인승 급가속(2025 Hyundai Ioniq 9 Performance Acceleration) - 2026.09.02,https://www.youtube.com/watch?v=sEgbIumas5M,sEgbIumas5M,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 현대 아이오닉 9 AWD 성능형 6인승 급가속(2025 Hyundai Ioniq 9 Performance Acceleration) - 2026.09.02
영상 링크: https://www.youtube.com/watch?v=sEgbIumas5M
(자막 미지원 영상)",대기
2026-09-17 10:06:23,mediaAUTO 미디어오토,"포드, 토요타, 닛산, 안타깝습니다 // 국제 상용차모터쇼, 독일 하노버, IAA 2026",https://www.youtube.com/watch?v=XB6hzFOEiRM,XB6hzFOEiRM,해당 영상은 자막이 제공되지 않아 자동 요약이 제한되었습니다.,"제목: 포드, 토요타, 닛산, 안타깝습니다 // 국제 상용차모터쇼, 독일 하노버, IAA 2026
영상 링크: https://www.youtube.com/watch?v=XB6hzFOEiRM
(자막 미지원 영상)",대기
